Name,Description,Stars,Language,Repo URL,Difficulty
PythonDataScienceHandbook,Python Data Science Handbook: full text in Jupyter Notebooks,43827,Jupyter Notebook,https://github.com/jakevdp/PythonDataScienceHandbook,Advanced
Data-Science-For-Beginners,"10 Weeks, 20 Lessons, Data Science for All!",28777,Jupyter Notebook,https://github.com/microsoft/Data-Science-For-Beginners,Advanced
data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.",27835,Python,https://github.com/donnemartin/data-science-ipython-notebooks,Advanced
applied-ml,📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.,27688,,https://github.com/eugeneyan/applied-ml,Advanced
awesome-datascience,:memo: An awesome Data Science repository to learn and apply for real world problems.,25706,,https://github.com/academic/awesome-datascience,Advanced
go,The Open Source Data Science Masters,25193,,https://github.com/datasciencemasters/go,Advanced
data-science,📊 Path to a free self-taught education in Data Science!,19406,,https://github.com/ossu/data-science,Advanced
ds-cheatsheets,List of Data Science Cheatsheets to rule the world,14945,,https://github.com/FavioVazquez/ds-cheatsheets,Advanced
Virgilio,Your new Mentor for Data Science E-Learning.,14020,Jupyter Notebook,https://github.com/virgili0/Virgilio,Advanced
Ai-Learn,"人工智能学习路线图，整理近200个实战案例与项目，免费提供配套教材，零基础入门，就业实战！包括：Python，数学，机器学习，数据分析，深度学习，计算机视觉，自然语言处理，PyTorch tensorflow machine-learning,deep-learning data-analysis data-mining mathematics data-science artificial-intelligence python tensorflow tensorflow2 caffe keras pytorch algorithm numpy pandas matplotlib seaborn nlp cv等热门领域",10387,,https://github.com/tangyudi/Ai-Learn,Advanced
kedro,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.",10149,Python,https://github.com/kedro-org/kedro,Advanced
PySyft,Perform data science on data that remains in someone else's server,9608,Python,https://github.com/OpenMined/PySyft,Intermediate
data-science-interviews,Data science interview questions and answers,9164,HTML,https://github.com/alexeygrigorev/data-science-interviews,Intermediate
gop,"The Go+ programming language is designed for engineering, STEM education, and data science. Our vision is to enable everyone to become a builder of the digital world.",9034,Go,https://github.com/goplus/gop,Intermediate
gridstudio,Grid studio is a web-based application for data science with full integration of open source data science frameworks and languages.,8877,JavaScript,https://github.com/ricklamers/gridstudio,Intermediate
data-science-from-scratch,code for Data Science From Scratch book,8852,Python,https://github.com/joelgrus/data-science-from-scratch,Intermediate
computer-science-flash-cards,Mini website for testing both general CS knowledge and enforce coding practice and common algorithm/data structure memorization.,8569,HTML,https://github.com/jwasham/computer-science-flash-cards,Intermediate
cookiecutter-data-science,"A logical, reasonably standardized, but flexible project structure for doing and sharing data science work.",8554,Python,https://github.com/drivendataorg/cookiecutter-data-science,Intermediate
Data-Science-Notes,数据科学的笔记以及资料搜集,8284,Jupyter Notebook,https://github.com/fengdu78/Data-Science-Notes,Intermediate
industry-machine-learning,A curated list of applied machine learning and data science notebooks and libraries across different industries (by @firmai),7298,Jupyter Notebook,https://github.com/firmai/industry-machine-learning,Intermediate
The-Grand-Complete-Data-Science-Materials,,7259,Python,https://github.com/krishnaik06/The-Grand-Complete-Data-Science-Materials,Intermediate
data-scientist-roadmap,"Toturials coming with the ""data science roadmap"" picture.",7068,Jupyter Notebook,https://github.com/MrMimic/data-scientist-roadmap,Intermediate
data-science-blogs,A curated list of data science blogs,6340,Python,https://github.com/rushter/data-science-blogs,Intermediate
machine-learning-mindmap,"A mindmap summarising Machine Learning concepts, from Data Analysis to Deep Learning.",6153,,https://github.com/dformoso/machine-learning-mindmap,Intermediate
DataSciencePython,common data analysis and machine learning tasks using python,5349,Python,https://github.com/ujjwalkarn/DataSciencePython,Intermediate
Data-Analysis,Data Science Using Python,5260,Jupyter Notebook,https://github.com/WillKoehrsen/Data-Analysis,Intermediate
datascience,This repository is a compilation of free resources for learning Data Science.,5099,,https://github.com/geekywrites/datascience,Intermediate
Data-Science-Cheatsheet,"A helpful 5-page machine learning cheatsheet to assist with exam reviews, interview prep, and anything in-between.",5073,TeX,https://github.com/aaronwangy/Data-Science-Cheatsheet,Intermediate
r4ds,R for data science: a book,4664,R,https://github.com/hadley/r4ds,Beginner
datascience,Curated list of Python resources for data science.,4315,,https://github.com/r0f1/datascience,Beginner
DataScienceResources,Open Source Data Science Resources.,4131,,https://github.com/jonathan-bower/DataScienceResources,Beginner
Data-science,"Collection of useful data science topics along with articles, videos, and code",4078,Jupyter Notebook,https://github.com/khuyentran1401/Data-science,Beginner
courses,Course materials for the Data Science Specialization: https://www.coursera.org/specialization/jhudatascience/1,4078,HTML,https://github.com/DataScienceSpecialization/courses,Beginner
plotters,"A rust drawing library for high quality data plotting for both WASM and native, statically and realtimely 🦀 📈🚀",4031,Rust,https://github.com/plotters-rs/plotters,Beginner
Data-Science-Interview-Questions-Answers,Curated list of data science interview questions and answers,3968,,https://github.com/youssefHosni/Data-Science-Interview-Questions-Answers,Beginner
rodeo,A data science IDE for Python,3918,JavaScript,https://github.com/yhat/rodeo,Beginner
cracking-the-data-science-interview,"A Collection of Cheatsheets, Books, Questions, and Portfolio For DS/ML Interview Prep",3868,Jupyter Notebook,https://github.com/khanhnamle1994/cracking-the-data-science-interview,Beginner
data-science-at-the-command-line,Data Science at the Command Line,3832,HTML,https://github.com/jeroenjanssens/data-science-at-the-command-line,Beginner
